Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
1,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
1,"[161.47483867036314, 113.05170727667863, 129.61436644563392]","[25.68581971374855, 270.4625875077349, 260.39205501625594]",50630.0,-2730.0
1,"[128.03274725714215, 152.19058671132092, 168.3571255510889]","[213.7730870865245, 174.02403655612966, 109.76405071666149]",51190.0,-1560.0
1,"[128.03274725714215, 152.19058671132092, 168.3571255510889]","[213.7730870865245, 174.02403655612966, 109.76405071666149]",51190.0,-1560.0
1,"[125.59820805762844, 149.10594755105188, 117.71635608160403]","[131.74097304113928, 127.78104976049275, 105.00720787570457]",51250.0,-1810.0
1,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
1,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
1,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
1,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
1,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
1,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
1,"[160.83667777612015, 112.55557624716769, 129.61436644563392]","[27.31557927324942, 270.21797227898895, 260.39205501625594]",51550.0,-3090.0
1,"[141.86775143782938, 160.22593726888255, 147.02898571354368]","[125.29309437172671, 247.11890657655027, 153.5074957041998]",57620.0,-3270.0
1,"[141.86775143782938, 160.22593726888255, 146.23259899360397]","[125.29309437172671, 247.11890657655027, 154.6990701551374]",57640.0,-3250.0
1,"[141.86775143782938, 160.22593726888255, 146.23259899360397]","[125.29309437172671, 247.11890657655027, 154.6990701551374]",57640.0,-3250.0
1,"[141.86775143782938, 160.22593726888255, 146.23259899360397]","[125.29309437172671, 247.11890657655027, 154.6990701551374]",57640.0,-3250.0
1,"[141.32328711711202, 161.10217394977388, 145.36202064580644]","[126.07498593324426, 247.15741012787146, 153.86185450334978]",60400.0,-3530.0
1,"[165.44732820092125, 158.71241616608918, 165.15698570325964]","[96.08820199440304, 290.32131594453574, 288.6592320019081]",80020.0,-5090.0
1,"[166.6078433961001, 163.60828252530771, 138.27145950490188]","[71.37732716841445, 357.0305604689292, 237.16143623238446]",80300.0,-4480.0
1,"[166.6078433961001, 163.60828252530771, 138.27145950490188]","[71.37732716841445, 357.0305604689292, 237.16143623238446]",80300.0,-4480.0
1,"[166.6078433961001, 163.60828252530771, 138.27145950490188]","[71.37732716841445, 357.0305604689292, 237.16143623238446]",80300.0,-4480.0
1,"[165.03995393731518, 158.71241616608918, 165.5806412228418]","[97.01790581379518, 290.32131594453574, 289.0578994556605]",80400.0,-4710.0
1,"[164.78803084426758, 159.48940594562745, 118.09603293423623]","[210.84714498022942, 334.71479393377376, 331.4853315025324]",80670.0,-4170.0
1,"[164.78803084426758, 159.48940594562745, 118.09603293423623]","[210.84714498022942, 334.71479393377376, 331.4853315025324]",80670.0,-4170.0
1,"[129.2787338402507, 157.2084272179771, 164.98808866254765]","[306.6866905785735, 10.344746221780227, 249.66676779003566]",80680.0,-3740.0
1,"[166.6078433961001, 161.92711803900505, 138.27145950490188]","[71.37732716841445, 356.59318543910916, 237.16143623238446]",80750.0,-3980.0
1,"[114.45244658541262, 152.4760098665218, 162.26969952204536]","[284.37879603131756, 290.35311265129815, 332.3881591628479]",81270.0,-3620.0
1,"[114.45244658541262, 152.4760098665218, 162.26969952204536]","[284.37879603131756, 290.35311265129815, 332.3881591628479]",81270.0,-3620.0
1,"[165.6443043606055, 159.48940594562745, 118.09603293423623]","[211.04143938302624, 334.71479393377376, 331.4853315025324]",81400.0,-3440.0
2,"[173.9885862631488, 173.63723414889841, 167.3557872582742]","[70.37398783572226, 345.1945570925125, 14.121910339893411]",13240.0,-920.0
2,"[173.9885862631488, 173.63723414889841, 167.3557872582742]","[70.37398783572226, 345.1945570925125, 14.121910339893411]",13240.0,-920.0
2,"[172.8358668080129, 173.63723414889841, 167.3557872582742]","[68.10305079292598, 345.1945570925125, 14.121910339893411]",13240.0,-920.0
2,"[174.0651375814965, 173.63723414889841, 166.04271833408293]","[68.27435265778003, 345.1945570925125, 14.897375054112617]",16800.0,-1470.0
2,"[172.8358668080129, 173.63723414889841, 166.37305368424427]","[68.10305079292598, 345.1945570925125, 15.322077648562033]",18290.0,-1350.0
2,"[169.37623844376193, 134.22599567492097, 178.46565468347382]","[100.73959057671982, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
2,"[169.37623844376193, 134.22599567492097, 178.46565468347382]","[100.73959057671982, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
2,"[169.37623844376193, 134.22599567492097, 178.46565468347382]","[100.73959057671982, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
2,"[171.2255329382821, 134.22599567492097, 178.46565468347382]","[99.1735159922401, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
2,"[169.37623844376193, 134.22599567492097, 178.46565468347382]","[100.73959057671982, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
2,"[169.37623844376193, 134.22599567492097, 178.46565468347382]","[100.73959057671982, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
2,"[126.23109677503092, 170.15389315677055, 173.00143416506455]","[221.97084777715676, 177.55266236698657, 146.6819086229863]",38210.0,-460.0
2,"[160.11141830441903, 154.7011684847108, 142.30612175255797]","[163.13297393079077, 127.69284320528959, 98.24923582092747]",42620.0,-3750.0
2,"[160.62999454666155, 154.7011684847108, 142.30612175255797]","[163.28625745122798, 127.69284320528959, 98.24923582092747]",42650.0,-3720.0
2,"[127.42235671566478, 170.15389315677055, 172.93668841835213]","[221.13136931532256, 177.55266236698657, 148.20198604349005]",43960.0,-480.0
2,"[125.59820805762844, 149.10594755105188, 117.02121241261939]","[131.74097304113928, 127.78104976049275, 105.00420812097603]",45510.0,-1810.0
2,"[127.19961365610835, 149.10594755105188, 117.02121241261939]","[131.82195584422237, 127.78104976049275, 105.00420812097603]",45540.0,-1770.0
2,"[160.11141830441903, 154.7011684847108, 140.88143396867588]","[163.13297393079077, 127.69284320528959, 98.2768516588975]",47050.0,-3740.0
2,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
2,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
2,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
2,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
2,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
2,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
2,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
2,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
2,"[160.11141830441903, 154.7011684847108, 140.5783222180564]","[163.13297393079077, 127.69284320528959, 99.06159434657769]",48380.0,-3750.0
2,"[160.11141830441903, 154.7011684847108, 140.5783222180564]","[163.13297393079077, 127.69284320528959, 99.06159434657769]",48380.0,-3750.0
2,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
2,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
2,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
2,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
2,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
2,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
2,"[159.13956253031157, 154.7011684847108, 140.5783222180564]","[163.90315759613935, 127.69284320528959, 99.06159434657769]",50240.0,-3260.0
2,"[141.5050810353752, 161.10217394977388, 145.36202064580644]","[127.08688079273547, 247.15741012787146, 153.86185450334978]",56010.0,-3460.0
