Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
7,"[82.14208437423841, 20.243366202651004, 60.1229073344168]","[118.1488482429964, 294.96713598313454, 317.2296218328107]",42840.0,-6950.0
7,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
7,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
7,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
8,"[45.2868711359844, 38.08024091429813, 29.32123540925174]","[258.5732505276105, 245.20256600322625, 244.4905283534074]",36500.0,-5350.0
8,"[45.2868711359844, 38.89737418340269, 29.32123540925174]","[258.5732505276105, 244.89663629807254, 244.4905283534074]",36520.0,-5330.0
8,"[37.99076444959322, 34.33860422134941, 30.116469306978928]","[261.52610945924994, 236.1115832629252, 255.23631637030047]",37560.0,-5690.0
8,"[37.99076444959322, 34.33860422134941, 30.116469306978928]","[261.52610945924994, 236.1115832629252, 255.23631637030047]",37560.0,-5690.0
8,"[38.78412914119454, 33.853101319148706, 30.886019674955353]","[261.4479404441608, 237.05278473585452, 253.04322757172193]",37600.0,-5640.0
8,"[38.06159532431544, 34.21073591084056, 30.116469306978928]","[260.74008452849074, 237.05355739068233, 255.23631637030047]",37610.0,-5640.0
8,"[38.78412914119454, 33.853101319148706, 30.116469306978928]","[261.4479404441608, 237.05278473585452, 255.23631637030047]",37630.0,-5610.0
8,"[82.14208437423841, 20.243366202651004, 60.1229073344168]","[118.1488482429964, 294.96713598313454, 317.2296218328107]",42840.0,-6950.0
8,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
8,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
9,"[45.2868711359844, 38.08024091429813, 29.32123540925174]","[258.5732505276105, 245.20256600322625, 244.4905283534074]",36500.0,-5350.0
9,"[45.2868711359844, 38.89737418340269, 29.32123540925174]","[258.5732505276105, 244.89663629807254, 244.4905283534074]",36520.0,-5330.0
9,"[37.99076444959322, 34.33860422134941, 30.116469306978928]","[261.52610945924994, 236.1115832629252, 255.23631637030047]",37560.0,-5690.0
9,"[37.99076444959322, 34.33860422134941, 30.116469306978928]","[261.52610945924994, 236.1115832629252, 255.23631637030047]",37560.0,-5690.0
